Insert_times,Search_times,num_insertCollisions,num_searchCollisions
94,8.42,0,0
79.62,7.77,3,0
83.13,7.78,0,0
81.31,7.77,1,0
63.72,7.79,6,0
58.13,7.81,5,0
46.32,7.78,6,0
45.8,7.97,2,0
45.68,7.81,8,0
39.15,8.19,6,1
48.16,7.83,16,0
29.85,7.77,11,0
38.06,8.43,13,2
28.75,7.74,11,0
31.64,7.78,13,0
36.12,7.76,14,0
30.07,8.55,9,2
28.95,7.77,9,0
34.86,7.81,23,0
32.79,8.28,22,1
28.57,7.74,18,0
32.05,7.79,21,0
37.93,8.09,25,1
34.42,7.91,27,0
37.49,8.22,36,1
25.32,7.78,25,0
34.64,7.78,38,0
27.55,8.67,30,3
27.53,11.51,35,15
29.08,12.11,26,2
32.97,11.84,34,24
30.74,7.78,28,0
38.13,8.65,31,3
29.09,8.41,20,2
33.39,9.34,32,5
31.13,10.36,39,2
36.9,8.49,25,2
37.71,8.06,30,0
44.44,8.08,60,1
38.54,8.39,36,2
36.93,7.86,52,0
29.78,8.15,46,1
41.02,8.16,38,1
37.66,7.83,50,0
44.83,7.81,55,0
40.37,8.06,41,1
27.07,8.38,26,1
33.99,7.97,29,0
37.07,10.23,42,5
34.8,7.83,32,0
30.59,9.4,35,5
36.42,8.18,47,1
26.25,7.85,30,0
29.79,7.8,31,0
46.44,7.8,54,0
32.22,9.74,51,6
43.85,10.74,70,8
48.36,8.13,58,1
43.66,12.12,48,16
35.85,8.96,40,3
30.55,9.54,40,5
33.1,11.94,58,11
42.03,8.62,47,2
44,7.84,57,0
36.99,9.14,34,4
33.22,9.97,30,6
41.02,7.85,40,0
41.54,8.19,44,2
40.76,8.33,50,1
30.83,11.14,37,10
37.39,8.39,36,1
42.88,9.54,42,6
45.09,9.67,51,6
34.08,10.14,36,8
35.94,8.72,43,2
35.89,9.69,27,5
46.49,9.35,56,4
33.91,10.29,26,7
30.76,11.04,52,10
44.09,11.1,56,8
29.72,8.71,44,2
27.76,8.76,52,4
29.62,8.99,42,3
69.55,8.49,59,2
45.81,10.45,45,10
40.49,9.96,43,6
32.6,12.45,51,28
33.89,7.93,53,0
27.61,8.67,35,2
30.6,8.26,58,1
38.01,9.18,56,4
31.16,8.06,62,0
35.74,10.09,73,7
36.42,9.22,43,3
37.71,8.15,53,0
29.09,14.45,34,36
31.98,8.75,63,3
29.87,11.52,53,11
29.5,9.86,38,6
34.21,9.11,51,3
32.74,13.62,67,28
35.8,11.71,58,14
32.77,10.93,48,9
35.42,11.18,71,6
31.58,9.11,51,3
27.23,8.38,56,0
27.15,12.91,27,23
36.38,9.16,43,5
28.3,11.54,31,15
31.16,8.23,48,1
30.28,8.09,39,0
26.62,10.76,47,8
36.84,9.28,54,3
37.15,13.17,50,13
32.24,11.44,38,1
36.24,17.17,47,6
42.53,22.54,37,3
36.01,16.99,40,12
40.74,15.42,48,1
30.77,22.93,26,3
43.65,20.99,24,3
49.88,27.5,44,6
51.25,29.07,58,2
45.77,40.39,34,10
42.04,23.27,38,0
40.75,29.92,40,2
56.12,33.68,51,2
50.18,41.88,60,4
51.55,45.03,43,0
51.82,33.62,54,2
56.16,37.87,56,16
43.48,22.5,46,0
41.01,17.54,35,15
26.61,14.24,41,0
45.43,12.74,58,8
32.04,17.96,59,2
30.43,24.05,38,3
36.77,18.75,50,3
35.62,19.6,46,4
37.84,19.62,46,8
54.33,27.79,39,16
30.59,22.89,32,3
34.75,20.14,28,5
33.79,20.89,35,11
36.29,23.36,42,1
30.13,18.82,27,3
34.82,22.75,32,17
34.55,17.17,35,9
28.27,17.6,43,2
26.54,15.1,38,3
27.34,12.83,52,6
29.32,14.91,63,12
21.68,11.15,30,1
28.24,13.91,48,10
26.47,13.11,45,1
27.92,12.44,44,2
27.77,10.3,59,0
26.66,17.63,42,10
28.45,12.73,64,3
21.59,12.63,32,7
28.78,14.03,59,14
28.49,11.12,61,9
23.62,18.44,35,25
26.57,13.57,37,8
25,13.41,43,5
30.39,14.46,76,14
28.52,9.93,54,0
33.4,11.76,72,5
26.54,10.07,52,1
24.13,13.07,37,17
26.97,12.63,54,6
27.84,13.78,65,9
20.98,10.96,33,0
31.47,11.52,62,9
29.23,11.16,56,4
32.57,10.75,73,1
34.83,16.78,70,14
37.33,11.48,85,5
32.23,17.21,75,22
32.54,11.6,71,11
29.31,14.92,60,4
33.26,9.09,80,0
38.06,10.54,104,1
35.49,10.81,70,5
36.51,11.5,89,5
34.66,11.08,89,4
34.82,11.14,79,5
28.49,12.76,53,12
32.92,14.88,87,21
37.32,10.28,114,1
39.39,15.16,86,24
35.25,11.54,81,0
47.32,9.71,129,2
43.16,11.34,127,8
38.41,10.06,96,4
47.07,12.85,125,15
44.4,9.75,143,5
45.42,13.23,139,12
44.38,10.4,124,1
44.15,13.02,138,13
46.4,9.93,155,3
43.26,17.41,142,38
44.77,12.5,188,12
44.18,12.67,168,13
49.55,13.75,274,13
44.89,13.47,187,18
44.71,17.8,216,34
46.14,10.9,223,3
48.72,12.46,234,17
43.43,17.8,191,25
51.94,14.43,313,7
52.07,12.78,369,12
49.42,13.85,266,17
52.62,13.23,358,12
53.06,12.7,279,10
52.99,13.89,377,19
51.68,12.03,344,10
48.62,15.84,303,26
55.66,10.88,428,4
53.72,16.74,436,21
51.96,14.06,389,20
54.55,12.85,423,17
49.94,16.84,330,35
55.93,18.65,461,34
56.75,15.86,459,30
54.36,14.81,420,12
53.72,11.86,449,12
67.3,17.34,744,46
65.13,12.92,695,10
69.68,17.1,757,48
70.45,17.27,820,27
70.76,13.01,833,12
66.64,16.14,716,43
79.45,13.44,993,16
72.14,13.2,851,21
77.84,20.03,976,79
89.94,17.59,1272,28
93.97,15.19,1350,21
95.75,12.53,1400,8
116.52,20.79,1896,79
77.58,17.03,987,30
93.44,26.71,1382,133
151.96,21.78,2735,97
91.18,22.17,1319,87
100.63,18.12,1532,35
93.85,14.64,1354,33
129.8,24.71,2211,107
100.93,18.65,1536,80
123.11,15.75,2075,23
133.69,16.09,2329,28
104.9,22.08,1617,63
131.77,29.14,2260,167
142.65,19.94,2510,67
162.76,30.37,2951,246
139.94,33.29,2454,246
361.76,25.61,7723,67
322.25,16.9,6753,33
393.31,31.37,8479,277
484.23,20.23,10630,70
667.8,26.2,15033,204
453.3,17.04,9890,56
529.95,23.76,11716,151
666.26,78.05,14942,1316
546.62,19.33,12076,45
487.57,22.49,10695,103
529.05,68.53,11688,1067
472.17,16.57,10360,57
385.67,21.24,8283,122
606.5,25.5,13525,106
821.76,24.23,18652,85
781.34,174.29,17680,3301
467.23,121.22,10223,2055
593.07,27.05,13234,119
803.92,41.34,18218,441
535.17,18.72,11837,52
824.26,21.45,18706,86
934.89,120.39,21332,2099
587.02,20.2,13102,71
847.38,221.32,19249,4170
1294.34,26.63,29898,113
871.65,219.34,19833,4050
1046.81,29.21,23994,195
690.17,27.07,15542,109
785.77,35.26,12938,390
746.07,20.93,19121,40
581.35,37.23,14696,500
679.02,35.79,17346,424
487.51,47.04,12212,666
677.58,45.04,17285,602
513.79,93.88,12603,1723
389.44,22.89,9553,111
554.38,30.19,13980,269
558.06,32.82,14103,294
469.97,27.03,11740,167
354.95,18.86,8641,79
429.92,120.91,10629,2443
246.2,25.66,5750,162
341.44,20.45,8310,66
429.42,70.85,10648,1103
444.63,20.97,11017,63
324.25,138.95,7825,2643
251.5,19.93,5881,55
336.23,34,8120,251
209.36,69.37,4777,1133
188.94,37.93,4209,429
429.24,66.28,10654,1100
420.44,24.63,10409,139
308.6,94.54,7396,1800
101.99,22.42,1860,127
140.08,101.66,2889,1908
163.6,20.95,3539,92
171.93,28.33,3741,222
241.86,32.26,5586,248
236.94,44.58,5494,647
188.99,45.99,4205,639
127.56,132.13,2540,2656
139.68,150.66,2879,3006
121.24,152.55,2402,3143
152.29,105.06,3189,1860
118.89,98.79,2316,1749
146.83,146.59,3090,2873
268.29,103.72,6307,1880
188.69,195.26,4190,4089
357.48,114.12,8722,2216
282.68,108.29,6731,1960
323.78,111.75,7817,2065
222.98,110.08,5084,2101
513.83,26.58,9672,125
1218.31,48.04,12911,199
166.94,41.77,3503,273
460.32,136.16,11387,2540
274.45,106.72,6335,1752
265.43,47.14,6237,452
336.9,99.14,8167,1580
470.25,118.45,11709,2143
259.58,65.31,6023,891
173.25,55.44,3782,612
194.35,117.01,4313,2222
212.96,83.97,4794,1291
191.97,162.34,4301,3139
320.16,240.3,7715,4858
209.12,58.76,4737,779
262.08,156.49,6153,3033
372.64,61.18,9076,818
388.61,169.41,9520,3356
425,53.75,10466,738
257.83,326.46,6025,7063
408.25,51.62,10080,682
240.61,44.34,5563,460
323.52,61.17,7788,855
274.46,58.28,6449,855
354.58,59.14,8637,788
238.16,22.93,5528,102
208.02,57.7,4722,786
281.28,43.87,6680,436
347.93,53.86,8457,759
399.16,156.23,9819,3075
164.89,178.78,3532,3075
178.82,50.43,3894,588
156.9,105.93,3336,1967
96.74,42.8,1674,458
167.52,115.12,3603,1980
134.67,29.19,2695,199
126.52,47.55,2517,570
315.42,115.97,7600,2169
303.01,57.17,7237,822
206.56,35.34,4695,342
207.45,42.32,4695,463
157.06,241.18,3353,5143
116.6,170.6,2262,3343
129.34,65.63,2590,958
122.81,190.85,2417,3717
126.75,29.13,2547,212
120.6,163.89,2378,3338
156.18,165.7,3348,3374
162.2,56.25,3504,834
144.77,41.51,3023,500
214.67,72.26,4879,1161
162.75,68.13,3507,1104
223.6,65.72,5144,983
211.16,189.26,4810,3803
300.29,51.02,7163,653
623.64,68.65,15867,1079
926.23,166.61,24002,3421
1536.04,42.26,40310,494
1669.91,101.02,43931,1825
1173.1,105.71,30568,1873
1722.76,31.31,45349,226
987.2,142.87,25600,2743
1434.93,76.66,37641,1211
891.35,38.06,23057,384
1033.6,48.19,26890,453
920.68,392.62,23864,8436
899.58,48.42,23278,532
1059.06,174.08,27527,3426
1566.05,138.05,41162,2643
2308.59,174.27,61093,3519
4095.77,142.22,109008,2710
30227.2,58.65,801848,840
103275,82.96,2.76119e+06,602
