Insert , Search
1.742e-07 , 1.655e-08
1.6774e-07 , 2.763e-08
1.8075e-07 , 2.727e-08
1.6306e-07 , 4.895e-08
1.8641e-07 , 4.955e-08
1.9795e-07 , 4.674e-08
2.0692e-07 , 5.089e-08
1.8115e-07 , 5.237e-08
2.1715e-07 , 5.159e-08
2.0924e-07 , 5.421e-08
2.1102e-07 , 5.808e-08
2.1157e-07 , 6.646e-08
1.8451e-07 , 7.074e-08
2.2724e-07 , 6.799e-08
2.2959e-07 , 7.068e-08
2.2126e-07 , 7.106e-08
1.9711e-07 , 6.947e-08
2.2998e-07 , 7.648e-08
2.2441e-07 , 7.6e-08
2.2366e-07 , 7.602e-08
2.2799e-07 , 7.635e-08
2.0189e-07 , 8.14e-08
2.3234e-07 , 7.831e-08
2.2574e-07 , 8.283e-08
2.332e-07 , 8.23e-08
2.118e-07 , 8.437e-08
2.3457e-07 , 7.875e-08
2.4121e-07 , 8.928e-08
2.378e-07 , 8.356e-08
2.413e-07 , 9.118e-08
6.6428e-07 , 1.1701e-07
3.2556e-07 , 9.618e-08
2.5853e-07 , 9.077e-08
2.2983e-07 , 8.236e-08
2.4611e-07 , 8.766e-08
2.4866e-07 , 8.714e-08
2.3454e-07 , 8.95e-08
2.2267e-07 , 9.27e-08
2.4089e-07 , 9.211e-08
2.4647e-07 , 9.433e-08
2.5091e-07 , 9.053e-08
2.4891e-07 , 9.125e-08
2.2608e-07 , 9.577e-08
2.5336e-07 , 9.168e-08
2.4399e-07 , 9.656e-08
2.499e-07 , 1.0063e-07
2.3344e-07 , 1.0278e-07
2.5962e-07 , 1.0161e-07
2.5458e-07 , 1.0143e-07
6.262e-07 , 1.3006e-07
2.7989e-07 , 1.1358e-07
2.4676e-07 , 1.0674e-07
2.5365e-07 , 1.1253e-07
2.7236e-07 , 1.1178e-07
2.6379e-07 , 1.0372e-07
2.9724e-07 , 1.1152e-07
2.5123e-07 , 1.1928e-07
2.7224e-07 , 1.1493e-07
2.9151e-07 , 1.1476e-07
2.8889e-07 , 1.0904e-07
2.4695e-07 , 1.1382e-07
3.1836e-07 , 1.1567e-07
2.952e-07 , 8.765e-07
8.452e-07 , 1.6938e-07
3.9647e-07 , 1.5239e-07
3.507e-07 , 1.3303e-07
3.308e-07 , 1.2506e-07
3.0012e-07 , 1.2369e-07
3.3286e-07 , 1.3916e-07
3.3317e-07 , 1.2794e-07
3.498e-07 , 1.3766e-07
3.2992e-07 , 1.3855e-07
2.6534e-07 , 1.3206e-07
3.2037e-07 , 1.3325e-07
3.096e-07 , 1.2868e-07
3.1991e-07 , 1.3486e-07
2.635e-07 , 1.3561e-07
3.2832e-07 , 1.3391e-07
3.3792e-07 , 1.341e-07
3.3221e-07 , 1.3538e-07
3.1783e-07 , 1.2955e-07
2.7546e-07 , 1.3414e-07
3.0434e-07 , 1.4884e-07
3.2385e-07 , 1.3147e-07
3.3803e-07 , 1.4273e-07
3.2154e-07 , 1.904e-07
4.1145e-07 , 1.421e-07
3.2952e-07 , 1.4481e-07
6.0966e-07 , 1.3122e-07
2.9797e-07 , 1.3436e-07
4.5352e-07 , 1.2269e-07
2.7475e-07 , 1.2019e-07
2.5764e-07 , 1.1837e-07
2.673e-07 , 1.2639e-07
2.2699e-07 , 1.24e-07
2.6366e-07 , 1.2531e-07
2.7541e-07 , 1.2253e-07
2.6411e-07 , 1.2441e-07
2.7775e-07 , 1.2068e-07
2.349e-07 , 1.2629e-07
2.6543e-07 , 1.2637e-07
2.7588e-07 , 1.35e-07
2.6788e-07 , 1.3125e-07
2.6947e-07 , 1.3566e-07
2.4212e-07 , 1.2664e-07
2.654e-07 , 1.4006e-07
2.6178e-07 , 1.3649e-07
2.5914e-07 , 1.4125e-07
2.4003e-07 , 3.1326e-07
2.7494e-07 , 1.4256e-07
2.7984e-07 , 1.4183e-07
2.7183e-07 , 1.3299e-07
2.6337e-07 , 1.386e-07
2.4239e-07 , 1.372e-07
2.6985e-07 , 1.3586e-07
2.6783e-07 , 1.4146e-07
2.6737e-07 , 1.3437e-07
2.4116e-07 , 1.4114e-07
5.6668e-07 , 3.1481e-07
6.1129e-07 , 1.7123e-07
2.8325e-07 , 1.6103e-07
2.9072e-07 , 1.5264e-07
8.4778e-07 , 1.5796e-07
2.6646e-07 , 1.5286e-07
2.7383e-07 , 1.5003e-07
2.611e-07 , 1.4854e-07
2.623e-07 , 1.4778e-07
2.627e-07 , 1.4491e-07
2.7611e-07 , 1.4961e-07
2.6559e-07 , 1.5203e-07
2.5282e-07 , 1.4412e-07
2.7019e-07 , 1.4763e-07
2.6229e-07 , 1.3971e-07
2.6672e-07 , 1.4796e-07
2.4743e-07 , 1.4635e-07
2.7566e-07 , 1.4712e-07
2.7105e-07 , 1.7196e-07
2.8089e-07 , 1.5175e-07
2.674e-07 , 1.5067e-07
2.5213e-07 , 1.5642e-07
2.6402e-07 , 1.4581e-07
2.7786e-07 , 1.5026e-07
2.7072e-07 , 1.6732e-07
2.5475e-07 , 1.4881e-07
2.7277e-07 , 1.5277e-07
2.6602e-07 , 1.4561e-07
2.7259e-07 , 1.5518e-07
2.8255e-07 , 1.552e-07
2.5693e-07 , 1.5185e-07
2.7722e-07 , 1.5058e-07
2.8013e-07 , 1.518e-07
2.8051e-07 , 1.528e-07
2.5378e-07 , 1.5537e-07
2.7568e-07 , 1.5546e-07
2.7427e-07 , 1.5145e-07
2.8266e-07 , 1.5972e-07
2.745e-07 , 1.5875e-07
2.5951e-07 , 1.494e-07
2.7902e-07 , 1.5154e-07
2.8654e-07 , 1.6044e-07
2.7786e-07 , 1.5681e-07
