Insert , Search
2.394e-07 , 3.341e-08
1.4487e-07 , 3.365e-08
1.5336e-07 , 3.525e-08
1.5619e-07 , 4.009e-08
1.4424e-07 , 4.393e-08
1.6697e-07 , 4.432e-08
1.6731e-07 , 4.455e-08
1.8413e-07 , 4.775e-08
1.7268e-07 , 4.862e-08
1.5812e-07 , 5.188e-08
1.7796e-07 , 5.068e-08
1.8711e-07 , 5.369e-08
1.8946e-07 , 5.536e-08
1.7954e-07 , 5.591e-08
2.0824e-07 , 5.773e-08
1.9119e-07 , 5.852e-08
1.9718e-07 , 6.184e-08
2.1288e-07 , 6.194e-08
1.8623e-07 , 6.45e-08
2.1133e-07 , 7.151e-08
2.3295e-07 , 7.287e-08
2.1174e-07 , 6.975e-08
2.0252e-07 , 7.554e-08
2.3142e-07 , 7.228e-08
2.3121e-07 , 7.3e-08
2.2558e-07 , 7.426e-08
2.4461e-07 , 7.18e-08
2.1398e-07 , 7.42e-08
2.2568e-07 , 7.477e-08
2.5197e-07 , 7.513e-08
2.5378e-07 , 7.733e-08
2.3552e-07 , 8.207e-08
2.7212e-07 , 8.293e-08
2.6033e-07 , 8.267e-08
2.6409e-07 , 8.354e-08
2.6805e-07 , 8.75e-08
2.726e-07 , 8.447e-08
2.7905e-07 , 8.481e-08
2.8872e-07 , 9.144e-08
2.8984e-07 , 8.577e-08
3.0174e-07 , 8.299e-08
2.9108e-07 , 8.916e-08
3.1198e-07 , 8.806e-08
2.9858e-07 , 2.8974e-07
4.6095e-07 , 1.0875e-07
3.5696e-07 , 1.046e-07
3.4407e-07 , 1.0668e-07
3.5237e-07 , 1.0122e-07
3.3155e-07 , 1.028e-07
3.7976e-07 , 1.0132e-07
3.824e-07 , 1.047e-07
3.8363e-07 , 1.0016e-07
1.02077e-06 , 1.5725e-07
4.4829e-07 , 1.198e-07
4.5658e-07 , 1.0205e-07
4.2193e-07 , 1.0424e-07
4.2431e-07 , 1.1263e-07
4.2929e-07 , 1.0464e-07
4.6787e-07 , 1.0743e-07
4.6089e-07 , 1.0476e-07
4.6397e-07 , 1.0849e-07
4.6138e-07 , 1.0576e-07
4.7441e-07 , 1.0945e-07
4.805e-07 , 1.0887e-07
5.1637e-07 , 1.1451e-07
5.23e-07 , 1.0701e-07
5.0656e-07 , 1.0759e-07
5.546e-07 , 1.1019e-07
