Insert_times,Search_times,num_insertCollisions,num_searchCollisions
1601.58,17.09,0,0
310,11.65,0,0
136.83,11.69,0,0
97.04,11.21,0,0
81.48,10.81,2,0
211.97,13.23,1,0
82.06,11.36,0,0
96.71,13.06,2,3
81.34,11.27,1,0
81.17,11.9,1,2
94.59,11.83,4,0
81.18,11.27,0,0
94.01,11.89,3,0
79.92,12.23,3,1
79.11,12.24,10,1
100.9,13.43,4,2
80.56,11.98,1,0
94.25,14.28,2,6
79.57,12.21,5,0
78.97,12.56,7,2
94.8,14.41,7,5
78.44,12.35,4,0
81.02,12.59,11,1
99.11,12.7,1,0
78.78,13.66,2,2
101.45,12.64,6,0
79.59,12.69,6,0
77.57,13.99,4,3
94.8,13.65,10,1
80.65,13.41,11,3
98.84,14.82,10,5
78.58,12.23,9,1
78.99,13.53,16,4
94.67,13.2,5,0
79.18,13.04,10,1
102.04,13.56,12,1
80.28,13.65,8,1
80.37,13.45,16,1
94.98,14.21,7,3
80.23,15.23,5,7
99.28,14.02,14,2
81.06,13.55,12,1
77.93,13.88,8,2
94.01,15.72,6,7
78.76,144.28,6,2
261.25,20.82,11,2
104.1,31.05,10,0
176.53,37.06,8,2
126.14,40.22,7,4
122.26,21.58,13,0
89.09,18.93,12,0
117.63,17.47,9,4
87.59,16.32,10,2
100.61,17.1,9,0
83.98,16.05,9,4
84.73,16.09,17,2
106.09,15.37,17,1
81.67,16.03,12,1
98.41,16.25,14,6
83.27,15.35,16,0
81.31,16.18,14,2
102.7,17.7,13,3
79.8,16.48,12,6
95.61,17.39,7,5
83.12,17.73,17,10
85.3,15.66,20,3
98.33,17.74,14,4
83.03,15.83,19,1
80.69,14.97,13,4
97.22,14.95,10,2
81.48,15.9,18,4
101.98,16.27,16,2
81.71,15.08,19,2
83.99,15.74,14,2
98.29,16.45,15,3
83.91,17.14,22,9
97.51,17.53,25,11
82.24,15.59,19,5
79.76,18.51,13,11
96.11,17.2,16,12
79.75,14.5,10,0
100.5,15.42,14,1
81.93,17.46,18,9
80.83,15.17,19,3
99.44,14.97,19,0
83.03,16.61,16,8
99.32,16.35,25,5
85.37,15.43,16,4
79.93,16.73,17,5
97.6,15.27,20,3
83.88,16.02,25,5
82.11,16.09,17,4
104.06,16.61,17,5
85.76,15.6,12,1
97.5,16.05,19,2
82.05,16.27,15,6
82.55,16.16,16,7
95.87,15.85,20,5
82.05,16.12,23,2
97.27,17.14,26,5
82.21,17.27,27,5
82.16,16.6,24,2
102.08,16.8,22,6
81.48,16.89,27,8
102.91,17.58,27,7
84.79,15.05,15,0
85.56,18.55,30,9
97.67,16.47,30,3
