Insert_times,Search_times,num_insertCollisions,num_searchCollisions
710.56,12.6,0,0
100.16,10.4,3,0
91.09,10.63,0,0
75.53,10.09,1,0
99.01,10.77,6,0
89.66,11.07,4,0
96.25,11.39,6,0
90.93,11.25,1,0
92.29,11.84,8,0
73.34,11.06,6,0
91.99,11.28,13,0
72.98,10.74,8,0
117.5,11.53,10,0
73.03,11.27,6,0
73.73,11.38,10,0
109.92,12.4,10,0
73.43,11.58,5,0
114.22,12.58,7,0
76.51,11.94,11,0
95.6,11.91,13,0
91.63,11.95,12,0
74.1,11.18,15,0
98.13,12.73,18,0
100.23,12.4,17,0
96.84,11.99,26,0
93.22,12.22,14,0
96.6,12.71,19,0
74.17,12.77,16,0
95.22,12.62,21,0
92.07,13.32,14,0
94.19,12.58,21,0
99.9,13.25,18,0
75.84,13.08,17,0
90.95,13.7,13,0
74.2,12.92,16,0
111.74,12.98,23,0
74.46,12.47,16,0
92.68,12.98,13,0
95.87,13.37,24,0
94.05,12.92,16,0
96.81,13.06,26,0
75.56,12.79,18,0
91.46,13.35,17,0
94.7,13.33,22,0
92.24,13.49,19,0
75.78,12.65,20,0
90.54,13.01,12,0
100.43,13.17,17,0
94.59,13.52,20,0
75.91,13.33,20,0
98.6,14.01,20,0
92.87,14.27,28,0
95.31,13.77,16,0
96.15,13.8,18,0
76.18,13.59,20,0
75.21,13.55,18,0
118.15,14.02,29,0
99.86,14.39,26,0
93.94,13.73,17,0
75.76,13.42,17,0
105.62,14.63,18,0
91.99,14.41,29,0
77.78,13.52,19,0
94.07,14.5,29,0
94.7,14.05,20,0
98.06,14.56,21,0
94.52,13.87,22,0
77.22,13.74,20,0
101.38,14.86,19,0
97.54,13.88,15,0
99.76,15.23,19,0
99.48,14.45,21,0
78.78,14.87,24,0
78.46,14.44,21,0
114.17,15.53,22,0
98.83,14.76,14,0
188.74,27.93,20,0
135.71,28.11,15,0
112.89,27.78,23,0
122.99,17.78,25,0
99.79,16.31,26,0
100.3,16.41,23,0
97.34,16.89,21,0
80.2,15.33,24,0
93.79,15.75,20,0
97.9,16.33,19,0
79.61,16.02,21,0
113.07,15.46,20,0
76.76,16.15,15,0
119.27,15.3,20,0
79.08,15.13,26,0
78.14,15.38,23,0
116.35,15.55,27,0
77.44,15.46,21,0
112.52,15.67,21,0
78.02,15.22,13,0
79.07,14.93,29,0
96.16,15.71,19,0
95.08,15.47,15,0
93.98,15.42,23,0
99.93,16.15,27,0
79.15,16.36,25,0
115.94,15.99,14,0
77.93,15.36,24,0
114.07,16.19,24,0
78.05,16.08,27,0
99.19,16.89,15,0
95.99,16.08,17,0
77.33,15.89,11,0
98.85,16.18,19,0
93.05,17.02,25,0
78.92,16.75,29,0
119.17,16.15,29,0
78.27,15.98,24,0
358.31,17.46,19,0
97.02,17.38,19,0
80.76,16.74,20,0
114.26,17.01,15,0
79.93,16.09,28,0
79.51,16.24,18,0
116.92,16.53,13,0
79.11,16.48,21,0
114.95,16.37,28,0
79.52,16.31,21,0
78.35,15.97,19,0
99.76,15.99,24,0
101.34,16.35,25,0
78.65,16.13,23,0
109.42,16.38,22,0
78.09,16.31,22,0
116.68,16.91,25,0
79.43,16.13,24,0
100.39,16.31,21,0
96.75,17.37,20,0
78.02,16.72,24,0
112.44,16.25,19,0
78.17,17.33,27,0
97.99,15.76,19,0
96.02,16.35,26,0
78.26,15.95,23,0
116.06,17.15,16,0
78.16,16.4,18,0
199.37,17.86,16,0
95.76,17.79,17,0
77.21,17.22,18,0
116.6,17.3,17,0
78.29,17.11,12,0
79.17,18.06,17,0
114.27,17.34,25,0
77.39,17.01,15,0
77.47,16.92,27,0
96.3,16.85,24,0
75.75,16.31,11,0
95.24,16.73,23,0
78.68,16.81,29,0
81.4,16.97,21,0
96.73,16.4,25,0
93.6,17.57,18,0
95.32,17.68,20,0
78.17,16.05,20,0
78.74,18.43,28,0
95.22,16.48,22,0
77.73,16.64,22,0
94.24,17.24,18,0
79.28,16.69,25,0
78.98,17.07,29,0
97.95,18.03,26,2
82.42,16.43,36,0
93.16,16.65,24,0
79.14,17.37,25,0
77.81,16.27,19,0
93.41,16.83,26,0
78.73,17.07,20,0
81.7,16.92,35,0
98.32,16.71,28,0
77.55,17.27,32,0
95.07,18.2,32,6
78.37,16.99,31,1
79.26,17.77,28,0
95.97,17.1,36,1
78.87,17.49,24,1
96.88,17.39,31,1
79.87,17.27,34,1
79.63,16.67,33,0
97.64,16.37,34,0
79.39,16.92,30,1
92.86,17.1,30,0
81.77,16.73,30,1
80.05,16.14,34,0
95.31,16.52,32,0
80.9,17.11,42,2
79.48,16.05,38,0
98.92,17.78,44,4
79.55,16.56,39,0
94.11,16.61,29,0
81.45,17.43,42,0
79.71,18.04,41,5
95.31,17.11,50,0
80.75,17.15,38,0
101.94,18.22,43,5
79.73,16.91,42,1
80.12,18.57,41,7
99.14,17.76,43,0
79.25,17.68,30,2
99.99,17.9,46,3
81.13,17.37,48,2
80.76,18.34,48,7
97.42,17.61,41,3
84.41,17.93,46,5
100.86,17.24,42,2
79.76,16.54,50,0
81.32,17.38,53,2
96.12,18.53,45,9
79.91,19.78,45,10
81.82,17.99,53,5
99.37,17.06,41,1
81.82,18.52,54,4
97.47,18.16,56,4
85.23,17.36,50,3
81.13,17.72,53,4
99.42,19.12,54,6
81.81,18.92,50,8
94.92,19.21,39,10
78.49,17.17,40,1
80.62,18.85,51,9
99.11,19.3,45,7
80.37,16.89,43,0
98.63,17.83,51,2
82.69,20.63,56,11
81.02,20.18,52,13
99.71,18.75,55,4
81.82,19.67,49,7
101.69,18.47,46,6
81.04,19.06,49,5
278.79,18.3,65,12
88.45,19,52,15
74.72,18.91,58,16
73.09,18.45,44,12
86.87,17.56,55,3
72.04,17.14,64,7
88.47,19.81,48,13
72.24,20.19,61,10
95.91,26.05,53,6
107.17,20.22,52,17
73.61,18.36,44,10
91.9,17.82,56,8
97.19,29.1,54,14
84.46,22.08,48,23
114.03,19.8,47,12
75.51,21.77,53,27
89.94,19.93,52,15
73.07,17.6,52,7
72.85,16.38,49,6
90.71,17.89,56,4
72.94,18.39,42,13
72.67,20.6,54,12
87.95,17.09,50,4
72.63,21.55,56,22
86.07,18.81,46,12
72.96,17.92,50,9
72.85,20.46,45,21
87.53,20.95,44,17
73.6,17.87,55,10
88.98,18.63,55,11
73.02,19.65,50,21
73.46,17.75,50,10
88.18,18.69,55,12
72.51,19.46,53,13
87.02,17.3,54,6
72.01,18.5,46,13
72.61,18.12,54,12
90.13,15.78,53,3
70.75,18.58,61,13
88.55,17.06,54,8
73.89,18.62,56,17
72.63,19.23,49,16
86.23,23.89,49,39
72.77,18.13,46,13
73.53,19.25,51,17
88.92,19.2,47,17
74.08,19.63,49,20
85.52,18.15,61,10
71.71,18.95,56,10
71.86,20,51,22
88.52,17.93,51,9
72.91,20.43,54,22
89.7,19.13,44,15
72.72,17.57,61,9
72.39,20.81,41,25
89.38,19.11,39,17
71.47,19.66,47,16
88.06,18.33,51,16
72.48,18.41,45,12
73.12,17.92,55,10
89.29,17.9,50,11
72.44,21.12,48,23
87.13,22.04,60,19
73.08,20.75,51,21
71.91,20.28,52,23
88.04,16.61,49,7
72.17,20.79,58,23
74.58,20.05,56,20
85.08,20.66,59,24
73.73,19.43,47,11
88.6,21.87,47,30
71.68,18.32,55,12
73.64,21.16,53,21
86.03,21.98,45,28
72.9,24.6,53,42
91.15,24.1,46,31
73.21,19.58,55,18
72.03,18.52,51,16
89.31,21.71,54,25
72.76,21.59,59,20
85.15,21.59,50,23
72.48,18.84,57,17
73.16,18.56,56,13
86.81,19.69,58,17
71.78,20.62,49,18
70.93,20.12,51,24
87.76,18.34,53,13
86.37,18.78,52,16
89.86,18.64,63,12
72.02,21.01,50,25
72.29,19.66,47,19
87.89,21.34,54,20
71,20.48,45,17
87.06,20.56,52,24
148.87,28.42,59,9
902.67,34.81,51,28
77.05,24.25,53,31
102.2,21.48,49,11
75.26,22.41,56,22
74.33,18.56,46,11
88.97,20,49,13
73.49,21.22,51,17
71.67,19.41,51,14
91.64,20.13,66,16
72.68,19.41,50,12
86.24,20.08,51,17
71.92,19.86,54,15
73.15,20.66,55,18
90.18,18.71,46,15
72.4,19.77,51,10
90.78,22.06,51,31
72.59,24.39,51,34
71.24,23.95,61,30
84.97,21.88,57,22
71.82,20.62,52,21
89.78,21.12,36,27
71.32,20.89,55,22
72.5,21.68,51,28
91.26,24.04,56,35
72.62,21.92,55,28
71.12,19.4,51,20
94.18,21.27,48,26
72.21,18.8,55,15
89.14,22.85,55,29
73.13,21.7,51,16
72.2,21.87,47,25
87.91,18.87,56,15
71.43,20.76,52,22
92.21,19.18,52,14
72.63,24.13,56,34
71.1,20.52,56,20
87.64,20.32,55,23
71.44,22.61,51,26
88.78,21.62,50,26
73.21,20.3,56,18
71.61,20.91,51,23
93.64,24.1,60,33
72.73,22.73,55,28
90.36,23.34,57,29
73.03,25.6,61,52
71.68,20.9,48,24
88.63,19.6,47,18
71.91,19.7,56,15
71.97,21.2,58,25
87.13,21.12,59,23
72.26,20.8,55,23
92.56,18.36,63,10
72.83,21.45,56,24
72.24,24.25,55,36
91.63,20.55,63,23
72.6,24.91,62,38
87.82,21.51,64,24
71.42,23.35,63,33
71.54,23.15,67,31
87.63,20.86,52,18
73.1,21.24,61,24
89.81,21.61,61,22
74.87,18.61,60,10
73.69,21.24,55,22
88.85,25.2,68,39
72.02,22.69,54,31
90.03,22.48,62,22
72.71,21.51,57,24
73.29,22.34,65,32
92.86,22.37,61,32
71.32,20.79,64,19
