Insert_times,Search_times,num_insertCollisions,num_searchCollisions
4.477e-08,8.59e-09,0,0
3.883e-08,8.48e-09,0,0
4.052e-08,8.29e-09,0,0
3.554e-08,8.1e-09,0,0
2.967e-08,8.06e-09,2,0
3.419e-08,8.29e-09,1,0
2.744e-08,8.25e-09,0,0
2.852e-08,8.19e-09,2,0
2.116e-08,7.96e-09,1,0
2.232e-08,8.11e-09,1,0
1.83e-08,8.29e-09,4,0
1.792e-08,8.79e-09,0,2
1.992e-08,8.29e-09,3,0
2.062e-08,8.05e-09,4,0
1.934e-08,8.28e-09,10,0
1.467e-08,8.01e-09,5,0
1.519e-08,8.77e-09,1,2
1.503e-08,8.35e-09,3,0
1.773e-08,8.95e-09,5,0
1.772e-08,8.19e-09,7,0
1.694e-08,8.24e-09,7,0
1.675e-08,8.52e-09,4,1
1.744e-08,8.47e-09,12,1
1.307e-08,8.39e-09,1,0
1.566e-08,8.52e-09,2,1
1.565e-08,8.49e-09,7,1
1.59e-08,8.88e-09,6,2
1.719e-08,9.04e-09,4,2
1.676e-08,8.83e-09,11,2
1.791e-08,8.68e-09,12,1
1.742e-08,8.98e-09,10,3
1.497e-08,8.17e-09,10,0
1.82e-08,8.53e-09,17,1
1.563e-08,1.072e-08,6,8
1.702e-08,8.5e-09,11,1
1.619e-08,8.26e-09,15,0
1.496e-08,1.014e-08,10,7
2.007e-08,8.66e-09,20,1
1.619e-08,8.55e-09,9,1
1.571e-08,8.9e-09,7,2
1.865e-08,8.86e-09,18,2
1.826e-08,8.83e-09,15,2
1.518e-08,9.15e-09,10,3
1.579e-08,8.41e-09,9,0
1.589e-08,8.91e-09,7,2
1.823e-08,8.78e-09,11,2
1.657e-08,9.31e-09,11,3
1.72e-08,9.98e-09,10,5
1.397e-08,9.19e-09,7,3
1.749e-08,8.43e-09,14,0
1.81e-08,1.073e-08,15,7
1.698e-08,9.81e-09,11,5
1.543e-08,1.03e-08,12,7
1.58e-08,9.17e-09,13,3
1.766e-08,8.49e-09,15,1
2.012e-08,9.55e-09,21,4
1.952e-08,1.069e-08,20,7
1.605e-08,1.197e-08,14,13
1.833e-08,1.065e-08,15,8
1.947e-08,8.41e-09,20,0
1.808e-08,1.018e-08,16,6
1.886e-08,8.57e-09,24,1
1.833e-08,8.91e-09,15,2
1.615e-08,8.65e-09,9,1
2.036e-08,1.012e-08,24,6
2.027e-08,9.72e-09,24,4
1.821e-08,8.99e-09,17,2
2.121e-08,1.022e-08,28,6
1.972e-08,8.7e-09,20,1
1.586e-08,9.32e-09,12,3
2.201e-08,9.22e-09,28,3
2.052e-08,8.59e-09,25,0
1.987e-08,8.74e-09,21,1
2.011e-08,1.004e-08,24,5
1.951e-08,8.38e-09,21,0
2.335e-08,9.15e-09,33,2
2.309e-08,1.228e-08,33,15
2.201e-08,1.056e-08,30,7
1.977e-08,9.93e-09,21,4
1.999e-08,1.088e-08,21,8
1.739e-08,1.065e-08,18,8
2.005e-08,1.023e-08,23,6
1.888e-08,8.9e-09,24,1
2.069e-08,1.153e-08,25,10
2.157e-08,1.462e-08,29,22
2.109e-08,1.119e-08,25,8
2.455e-08,1.067e-08,40,7
2.038e-08,9.72e-09,28,4
2.016e-08,1.012e-08,22,4
2.002e-08,9.64e-09,27,4
2.517e-08,9.88e-09,45,4
2.15e-08,1.024e-08,29,6
2.209e-08,1.119e-08,27,8
2.119e-08,1.185e-08,26,12
2.138e-08,1.049e-08,32,6
1.943e-08,9.86e-09,26,4
2.028e-08,1.033e-08,29,6
2.275e-08,1.079e-08,37,8
2.388e-08,1.233e-08,35,12
2.734e-08,1.166e-08,48,12
2.585e-08,9.63e-09,48,3
2.255e-08,1.227e-08,37,12
2.258e-08,9.5e-09,33,2
2.641e-08,9.31e-09,46,3
2.707e-08,1.365e-08,41,20
2.267e-08,1.173e-08,35,9
3.137e-08,1.738e-08,59,29
2.635e-08,1.199e-08,49,10
2.343e-08,9.02e-09,38,1
2.743e-08,9.79e-09,44,4
2.815e-08,1.092e-08,52,8
2.783e-08,1.025e-08,48,5
3.4e-08,1.212e-08,66,12
2.719e-08,1.43e-08,58,19
2.761e-08,1.096e-08,50,8
2.838e-08,1.176e-08,61,10
2.759e-08,1.24e-08,51,12
2.753e-08,1.055e-08,51,5
2.891e-08,1.166e-08,55,10
2.567e-08,1.017e-08,45,6
2.748e-08,1.085e-08,49,8
2.684e-08,1.188e-08,52,11
2.963e-08,1.205e-08,57,11
2.555e-08,1.139e-08,44,11
2.808e-08,1.037e-08,48,5
2.266e-08,1.141e-08,34,10
3e-08,1.142e-08,52,10
3.01e-08,1.069e-08,58,7
2.852e-08,1.153e-08,56,10
2.961e-08,1.104e-08,54,8
2.708e-08,1.174e-08,43,10
3.205e-08,9.42e-09,65,2
2.891e-08,1.22e-08,53,12
2.694e-08,1.064e-08,51,6
3.55e-08,1.335e-08,81,15
3.095e-08,1.308e-08,56,14
2.616e-08,1.151e-08,49,10
3.729e-08,1.011e-08,73,3
3.803e-08,1.26e-08,89,12
3.219e-08,1.51e-08,67,23
2.872e-08,1.378e-08,54,17
3.477e-08,1.408e-08,77,20
3.37e-08,1.451e-08,78,24
3.713e-08,1.174e-08,78,11
3.658e-08,1.258e-08,80,12
3.557e-08,1.928e-08,78,38
3.922e-08,1.338e-08,87,14
3.178e-08,1.471e-08,63,20
3.491e-08,1.253e-08,73,12
3.348e-08,1.208e-08,74,10
3.445e-08,1.263e-08,80,13
3.589e-08,1.681e-08,71,26
3.671e-08,1.205e-08,78,10
3.72e-08,1.336e-08,83,17
3.704e-08,1.167e-08,94,8
3.93e-08,1.733e-08,92,28
4.146e-08,4.256e-08,102,26
4.029e-08,1.229e-08,78,10
4.154e-08,1.471e-08,98,17
3.517e-08,1.4717e-07,85,14
