Insert_times,Search_times,num_insertCollisions,num_searchCollisions
2.0518e-07,8.87e-09,0,0
1.4418e-07,8.22e-09,3,0
3.875e-07,8e-09,0,0
5.098e-08,8.03e-09,1,0
7.458e-08,8.03e-09,6,0
4.551e-08,8.16e-09,5,0
3.856e-08,8.22e-09,6,0
4.112e-08,7.88e-09,2,0
2.3397e-07,1.9775e-07,8,0
5.039e-08,1.586e-08,6,1
4.593e-08,1.261e-08,16,0
3.004e-08,1.058e-08,11,0
1.9806e-07,1.643e-08,13,2
3.638e-08,1.843e-08,11,0
3.101e-08,1.395e-08,13,0
3.816e-08,1.115e-08,14,0
2.696e-08,1.186e-08,9,2
3.033e-08,9.8e-09,9,0
2.829e-08,1.005e-08,23,0
2.842e-08,8.39e-09,22,1
2.731e-08,8.08e-09,18,0
2.773e-08,8.44e-09,21,0
3.118e-08,8.39e-09,25,1
2.328e-08,8.03e-09,27,0
2.898e-08,1.007e-08,36,1
2.698e-08,8.27e-09,25,0
3.781e-08,8.24e-09,38,0
2.869e-08,9.2e-09,30,3
2.504e-08,1.105e-08,35,15
2.766e-08,9.25e-09,26,2
2.784e-08,1.181e-08,34,24
2.93e-08,8.05e-09,28,0
3.26e-08,1.068e-08,31,3
2.423e-08,8.85e-09,20,2
2.724e-08,9.82e-09,32,5
4.43e-08,8.75e-09,39,2
6.283e-08,8.66e-09,25,2
1.4309e-07,2.065e-08,30,0
5.971e-08,1.759e-08,60,1
4.043e-08,1.695e-08,36,2
4.093e-08,1.21e-08,52,0
2.778e-08,1.154e-08,46,1
3.696e-08,1.417e-08,38,1
3.189e-08,9.55e-09,50,0
3.722e-08,1.288e-08,55,0
3.35e-08,8.75e-09,41,1
2.164e-08,9.27e-09,26,1
2.979e-08,9.46e-09,29,0
2.767e-08,1.356e-08,42,5
3.007e-08,9.08e-09,32,0
2.852e-08,1.213e-08,35,5
3.796e-08,8.76e-09,47,1
2.933e-08,1.021e-08,30,0
2.989e-08,9.05e-09,31,0
3.683e-08,1.112e-08,54,0
2.709e-08,1.042e-08,51,6
4.761e-08,1.129e-08,70,8
3.691e-08,8.87e-09,58,1
3.174e-08,1.411e-08,48,16
2.841e-08,9.19e-09,40,3
2.83e-08,1.035e-08,40,5
3.331e-08,1.211e-08,58,11
3.074e-08,9.14e-09,47,2
3.756e-08,8.39e-09,57,0
1.2875e-07,2.472e-08,34,4
4.25e-08,2.312e-08,30,6
3.82e-08,1.899e-08,40,0
3.482e-08,1.484e-08,44,2
3.869e-08,1.396e-08,50,1
2.829e-08,1.411e-08,37,10
2.891e-08,1.468e-08,36,1
3.838e-08,8.908e-08,42,6
4.861e-08,1.593e-08,51,6
4.102e-08,1.666e-08,36,8
3.721e-08,1.148e-08,43,2
3.208e-08,1.535e-08,27,5
3.781e-08,1.625e-08,56,4
3.759e-08,1.363e-08,26,7
5.005e-08,1.671e-08,52,10
3.526e-08,1.221e-08,56,8
2.776e-08,1.445e-08,44,2
2.915e-08,1.438e-08,52,4
2.71e-08,1.385e-08,42,3
3.056e-08,1.099e-08,59,2
2.498e-08,1.188e-08,45,10
2.75e-08,1.204e-08,43,6
2.718e-08,1.355e-08,51,28
2.686e-08,8.71e-09,53,0
2.439e-08,9.86e-09,35,2
2.48e-08,8.8e-09,58,1
2.79e-08,9.97e-09,56,4
2.808e-08,9.22e-09,62,0
3.262e-08,1.079e-08,73,7
2.383e-08,2.619e-08,43,3
5.076e-08,1.948e-08,53,0
3.907e-08,3.109e-08,34,36
5.102e-08,1.877e-08,63,3
4.333e-08,2.133e-08,53,11
3.547e-08,1.968e-08,38,6
3.533e-08,1.266e-08,51,3
3.183e-08,1.692e-08,67,28
2.999e-08,1.291e-08,58,14
2.709e-08,1.324e-08,48,9
3.382e-08,1.128e-08,71,6
2.876e-08,1.148e-08,51,3
2.725e-08,9.27e-09,56,0
2.315e-08,1.333e-08,27,23
2.861e-08,1.025e-08,43,5
2.082e-08,1.285e-08,31,15
2.895e-08,9.42e-09,48,1
2.602e-08,8.82e-09,39,0
2.75e-08,1.152e-08,47,8
3.108e-08,9.8e-09,54,3
2.903e-08,1.346e-08,50,13
2.417e-08,9.05e-09,38,1
2.414e-08,1.072e-08,47,6
2.605e-08,9.49e-09,37,3
2.736e-08,1.035e-08,40,12
2.984e-08,1.161e-08,48,1
2.687e-08,1.061e-08,26,3
1.998e-08,9.85e-09,24,3
2.823e-08,1.06e-08,44,6
3.084e-08,9.55e-09,58,2
2.404e-08,1.183e-08,34,10
2.423e-08,9.44e-09,38,0
2.543e-08,9.41e-09,40,2
2.694e-08,9.34e-09,51,2
2.95e-08,1.023e-08,60,4
2.837e-08,8.79e-09,43,0
3.237e-08,9.68e-09,54,2
2.841e-08,1.177e-08,56,16
3.052e-08,1.006e-08,46,0
2.633e-08,1.285e-08,35,15
2.424e-08,1.023e-08,41,0
2.977e-08,1.053e-08,58,8
2.99e-08,9.61e-09,59,2
2.466e-08,1.052e-08,38,3
2.745e-08,1.049e-08,50,3
2.813e-08,1.02e-08,46,4
3.143e-08,1.132e-08,46,8
2.507e-08,1.352e-08,39,16
2.472e-08,1.008e-08,32,3
2.181e-08,1.149e-08,28,5
2.423e-08,1.126e-08,35,11
2.638e-08,1.043e-08,42,1
2.181e-08,9.69e-09,27,3
2.554e-08,1.246e-08,32,17
2.362e-08,1.181e-08,35,9
2.837e-08,9.51e-09,43,2
2.526e-08,1.007e-08,38,3
2.854e-08,1.071e-08,52,6
3.017e-08,1.246e-08,63,12
2.246e-08,9.15e-09,30,1
3.002e-08,1.208e-08,48,10
2.657e-08,9.47e-09,45,1
2.944e-08,1.102e-08,43,2
2.806e-08,9.1e-09,59,0
2.414e-08,1.224e-08,42,10
2.966e-08,1.038e-08,63,3
2.321e-08,1.155e-08,32,7
2.923e-08,1.237e-08,58,14
2.897e-08,1.075e-08,57,9
2.404e-08,1.569e-08,35,25
2.538e-08,1.143e-08,36,8
2.487e-08,1.115e-08,39,5
3.073e-08,1.304e-08,79,14
2.964e-08,8.93e-09,58,0
3.551e-08,1.021e-08,73,5
2.866e-08,9.13e-09,52,1
2.497e-08,1.297e-08,38,17
2.625e-08,1.098e-08,49,6
3.271e-08,1.181e-08,68,9
2.425e-08,9.15e-09,37,0
2.796e-08,1.134e-08,58,9
