Insert_times,Search_times,num_insertCollisions,num_searchCollisions
48.52,8.86,0,0
36.41,8.02,0,0
35.56,7.75,0,0
34.73,7.79,0,0
31.22,7.8,1,0
31.04,7.8,0,0
29.61,7.79,0,0
32.08,7.79,1,0
22.1,8.03,2,0
23.69,8.12,1,1
19.97,8.08,3,0
16.55,7.84,2,0
18.55,7.84,3,0
21.22,8.18,2,0
19.51,7.82,7,0
18.02,8.09,1,1
14.28,7.88,1,0
17.07,7.93,8,0
18.24,8.04,6,0
16.58,8.16,12,1
16.08,8.71,8,2
14.48,8.73,4,2
15,8.01,10,0
14.25,8.01,3,0
15.17,9.48,5,4
14.72,8.25,10,0
14.55,8.13,6,1
13.75,9.28,5,4
14.63,8.82,9,3
17.6,8.84,14,3
18.13,8.53,13,2
13.99,8.09,7,0
16.13,9.39,14,5
14.28,8.43,7,1
16.62,9.24,7,4
16.61,7.83,13,0
14.71,9.05,9,4
17.09,8.46,15,2
15.24,8.29,7,1
14.47,8.22,9,1
18.19,8.55,21,2
17.11,8.55,15,2
15.52,9.28,11,4
16.82,8.14,13,0
17.93,8.38,14,1
16.3,7.98,13,0
16.5,10.64,15,8
16.04,10.01,13,7
14.65,8.27,9,0
17.31,8.71,18,2
16.88,8.85,15,3
15.98,8.84,13,3
16.08,9.07,13,4
16.08,9.79,15,6
16.35,8.9,13,3
19.1,9.5,20,5
17.73,9.41,20,5
16.74,11.09,14,11
16.2,9.22,15,4
17.57,8.3,18,1
17.53,8.69,18,1
18.82,8.97,19,3
17,8.46,17,1
15.88,9.01,12,3
18.66,9.94,23,6
17.12,9.13,19,4
17.08,8.62,17,2
20.58,8.46,25,0
19.54,9.44,27,5
16.81,7.99,16,0
20.51,9.63,28,5
19.16,8.67,23,2
19.35,9.89,26,6
17.4,9.77,18,6
17.44,8.59,19,2
18.96,9.52,25,4
23.4,10.76,32,9
18.81,9.85,22,6
17.37,10.83,18,9
18.52,10.69,21,8
16.91,10.53,17,8
17.46,11.37,18,9
19.82,9.31,27,4
18.06,10.28,23,7
19.21,11.77,22,13
20.73,12.86,29,15
22.4,10.62,35,8
18.98,10.49,23,8
20.1,9.63,26,4
20.4,8.9,30,3
23.04,9.78,38,6
19.91,10.29,26,7
18.07,8.68,20,2
20.92,12.08,30,12
23.83,10.44,41,8
20.91,9.52,30,5
18.85,8.58,22,2
19.87,9.88,27,6
21.34,9.76,32,5
23.94,10.37,41,7
24.25,8.88,46,2
24.17,12.23,41,14
22.66,10.43,31,7
25.4,8.75,48,2
22.9,13.33,38,18
19.7,10.45,24,8
26.1,13.92,46,18
24.74,9.42,45,4
20.77,8.56,29,1
24.62,10.21,44,7
21.46,12.41,31,14
24.72,11.34,47,11
25.82,10.98,48,9
26.94,10.92,56,8
21.38,11.04,35,10
27.45,13.38,55,17
24.43,11.43,40,11
27.48,9.59,51,4
26.25,10.46,47,7
23.25,9.35,37,4
26.44,10.18,48,7
24.39,9.47,49,4
28.41,11.23,55,10
27.05,11.81,52,13
25.53,10,48,6
28.79,8.93,47,2
29.87,10.42,56,7
28.29,9.58,55,5
28.58,12.07,51,12
26.4,11.32,45,10
23.67,12.01,41,12
31.05,9.8,67,4
29.82,10.47,57,8
26.35,11.25,53,10
29.91,14.21,61,18
27.88,11.35,52,9
25.2,12.82,48,19
28.92,9.76,56,5
34.17,15.57,68,23
25.99,13.69,46,15
28.58,11.97,59,12
33.07,13.74,72,18
29.15,12.5,55,19
34.29,9.94,78,4
33.8,14.53,70,20
31.31,14.21,68,19
31.83,13.33,61,16
34.16,13.65,77,17
31.03,12.27,59,12
31.96,10.33,68,8
34.7,13.5,78,17
30.43,14.71,58,22
33.02,11.19,73,8
36.42,12.32,89,13
33.62,11.56,74,9
37.01,12.2,96,12
34.44,12.04,71,12
38.16,12.68,99,14
36.19,13.35,80,17
38.87,12.07,82,12
33.15,13.04,79,16
32.55,14.02,72,20
30.55,12.04,61,13
36.41,9.31,84,3
35.14,10.59,92,8
37.85,17.11,89,31
34.65,12.85,77,15
40.32,11.71,101,11
41.57,13.23,114,16
43.15,16.68,109,31
34.76,13.22,85,18
31.35,12.41,75,13
34.17,14.11,89,18
37.23,17.85,105,33
36.6,11.54,94,7
37.98,15.23,109,24
38.91,9.82,103,5
35.21,14.7,81,18
39.44,15.69,84,23
35.01,16.01,66,28
41.71,17.43,130,29
35.51,9.58,81,6
41.35,13.03,104,16
39.37,13.82,94,17
38.33,21.9,96,63
38.8,14.34,104,19
40.6,13.08,107,15
39.99,16.46,121,23
41.77,14.32,133,19
38.1,14.71,92,19
40.47,16.01,118,21
36.63,12.9,92,14
44.15,14,123,19
45.79,12.35,131,12
40.31,16.75,114,31
40.55,15.29,108,28
45,23.64,143,92
44.56,11.99,146,12
43.82,19.34,131,40
41.68,15.37,120,17
46.35,11.39,138,8
47.89,14.67,154,18
43.35,20.99,123,49
45.48,13.21,158,16
40.56,16.43,106,25
43.69,13.9,135,18
46.38,12.36,157,11
44.08,12.83,161,13
44.61,20.93,174,42
45.04,14.78,190,17
45.21,17.07,140,30
44.76,16.88,157,26
44.04,16.52,129,27
45.07,17.88,156,33
48.09,16.81,161,27
42.28,15.36,105,16
43.98,18.65,173,44
48.34,14.06,218,17
46.17,21.29,202,55
46.38,19.41,201,34
44.82,16.2,146,22
43.25,17.93,145,31
46.98,14.22,191,26
45.16,12.2,145,14
45.69,13.24,194,15
43.07,16.72,136,22
45.07,18.97,172,41
46.31,13.77,186,20
49.7,16.48,226,27
46.57,18.69,231,44
48.56,21.77,221,41
48.32,17.67,236,30
49.26,14.86,292,17
50.64,20.81,274,38
47.99,15.69,220,23
46.85,17.7,194,35
49.64,23.46,230,59
46.9,15.56,251,25
49.66,23.03,244,67
47.47,16.77,245,32
49.49,25.4,236,85
45.8,12.63,179,10
54.18,23.61,327,65
48.83,20.31,234,40
49.22,12.34,233,11
45.79,21.95,164,51
50.48,21.64,271,49
49.6,16.19,219,32
52.55,16.64,308,30
49.15,16.35,280,23
49.97,23.2,247,66
51.38,17.1,334,31
52,19.02,320,54
46,25.1,213,73
50.54,22.66,269,60
49.37,17.48,292,36
48.05,19.79,258,35
50.62,23.22,309,62
56.68,24.67,397,53
49.39,17.56,244,31
52.47,12.99,295,7
52.75,20,338,35
48.01,18.04,216,33
51.5,21.71,298,38
53.66,17.04,374,30
49.99,17.64,319,27
47.33,23.3,227,58
53.1,12.26,370,9
50.43,22.94,294,61
52.64,21.43,385,61
56.54,26.07,433,75
55.78,17.98,421,31
57.31,24.99,455,91
50.83,19.48,329,37
53.96,19.96,390,31
58.35,18.56,459,29
57.15,25.13,436,70
55.53,20.44,405,42
57.32,21.34,475,72
54.67,19.95,393,45
58.52,21.39,493,71
56.68,22.91,457,52
52.5,29.64,381,145
54.35,20.46,423,56
57.3,19.78,503,48
58.15,23.09,526,44
56.84,26.98,483,67
57.04,20.1,465,54
61.47,16.01,577,24
59.47,22.12,545,39
58.84,20.35,489,42
58.51,20.8,507,55
57.86,23.49,466,59
56.78,26.41,446,113
64.81,19.13,665,46
69.97,26.92,798,147
72.18,29.91,849,160
67.86,21.85,755,64
62.48,31.08,619,150
62.26,21.48,616,65
67,30.63,725,103
63.58,28.4,650,90
69.4,23.19,739,45
73.26,33.66,809,102
70.42,22.67,799,71
85.52,22.18,1133,82
70.09,22.4,757,43
72.74,21.48,784,65
67.66,17.75,686,25
65.52,19.6,641,53
72.05,20.69,838,62
75.97,20.86,927,84
66.26,25.4,699,98
71.65,16.99,835,27
65.92,28.17,713,129
89.52,24.21,1245,80
74.85,30.04,904,91
72.91,41.83,872,231
77.59,26.34,945,68
71.96,19.76,817,46
86.08,29.81,1153,209
79.79,18.25,1051,34
87,33.04,1203,152
90.39,22.62,1266,72
86.55,25.34,1210,112
97.43,28.19,1456,158
77.99,27.51,980,145
92.86,23.67,1337,69
88.79,28.35,1236,90
83.52,24.19,1093,97
108.05,33.62,1696,185
98.85,35.86,1477,189
107.74,22.01,1689,63
131.07,24.54,2265,96
101.97,22.61,1570,79
116.8,28.59,1904,171
124.26,31.43,2074,150
101.75,28.8,1541,104
136.25,31.07,2384,134
126.81,17.73,2141,22
131.23,24.91,2246,102
127.8,28.64,2162,156
119.6,29.64,1971,114
121.59,40.27,2014,261
174.34,35.43,3282,200
136.15,28.99,2385,151
178.83,29.7,3386,114
150.61,39.19,2706,187
135.2,31.48,2335,103
169.65,23.49,3158,92
158.89,29.8,2913,174
180.89,41.19,3433,465
190.89,25.59,3670,103
192.96,29.81,3722,83
265.77,27.57,5451,104
229.86,38.84,4592,275
231.55,32.56,4605,143
194.03,30.92,3751,106
265.94,29.39,5472,153
195.69,29.6,3796,147
486.29,46.61,7293,483
232.06,39.2,5318,304
291.84,29.09,6947,234
264.43,39.38,6207,444
275,60.99,6467,893
409.46,30.53,10118,200
340.44,24.2,8253,130
336.02,35.09,8146,322
529.03,28.78,13334,123
389.93,48.01,9568,546
472.89,27.23,11819,171
449.64,92.56,11180,1709
463.55,63.59,8870,412
683.36,40.31,12787,328
458.96,33.33,10888,224
601.53,27.44,15004,125
658.76,59.95,16581,695
579.41,28.11,14387,137
782.4,45.11,19842,457
828.82,30.15,21019,150
944.8,42.8,24115,279
1176.73,85.83,25543,942
1173.8,42.3,28930,173
1645.3,40.71,38637,110
1188.45,61.84,30386,570
1457.24,51.62,32834,346
1406.06,64.41,36157,694
1847.01,45.76,47855,303
1372.53,112.92,35100,1812
2385.04,91.4,61980,1093
2129.4,57.65,55006,309
2594.4,51.14,67209,345
2952.33,135.99,73048,1107
4265.51,68.79,110472,579
8812.91,334.65,232130,5259
12327.9,356.09,252084,1773
19148.8,75.16,425013,574
21094.9,93.47,528528,926
29417.4,69.02,750778,207
58288.9,52.14,1.61353e+06,238
