Insert , Search
235.48 , 173.88
582.83 , 344.1
845.06 , 491.67
1158.83 , 604.75
1495.97 , 769.59
1782.86 , 873.46
2125.79 , 1075.73
2970.76 , 1550.62
2416.35 , 1306.08
2752.05 , 1954.8
3413.35 , 1607.84
3574.05 , 1707
3965.52 , 1838.81
3816.72 , 2059.87
4094.99 , 1921.68
4422.5 , 2107.43
4674.77 , 2377.91
4989.63 , 2754.66
5321.7 , 2677.99
5490.16 , 2940
6152.74 , 3400.64
6074.54 , 3029.72
6342.14 , 3531.6
6689.44 , 3351.57
6941.94 , 3632.03
7174.17 , 3627.99
7477.2 , 3937.9
7316.67 , 4037.85
9102.27 , 3815.73
7918.14 , 4066.01
8748.48 , 4698.76
8664.39 , 4771.24
10116.6 , 5313.05
9112.14 , 4931.67
9309.6 , 5036.88
51599.5 , 6294.14
9998.42 , 5870.83
10064.2 , 6113.21
11813.4 , 6558.66
11718.5 , 6100.08
11339.7 , 6118.22
45714.8 , 6929.13
14197.6 , 5755.65
11716.7 , 5309.16
12116 , 6535.94
12443.1 , 7621.11
12719.1 , 7986.67
12498.8 , 6406.19
12623.1 , 6157.6
13170.9 , 6147.72
13386.9 , 6877.8
15262 , 6365.29
16130.8 , 9490.82
13559.9 , 7411.09
13744 , 7086.76
14662.3 , 6707.41
15266.1 , 7322.48
14863.8 , 8103.26
15172 , 8288.55
15793.5 , 7920.42
15676.7 , 7291.77
18411.4 , 8255.53
16585.8 , 7769.76
18527.9 , 8077
17121.4 , 8982.35
18268.8 , 8213.84
17696.8 , 9386.9
17912.1 , 8759.51
17718.8 , 11834.3
17975.2 , 8206.41
19502.3 , 9148.52
18761.9 , 9558.75
19336 , 9073.15
19509.3 , 9585.31
20998.2 , 10502.8
41965.4 , 15771.6
23980 , 12066.5
20862.6 , 9953.39
21067.8 , 10288.9
21419.7 , 11008.8
21210.5 , 11529.2
23545.5 , 12283.9
28659.4 , 11765.8
23166.6 , 10912
22932.8 , 12339.5
23395.2 , 12018.8
24940.9 , 12613.2
23954.3 , 11149.8
24783.2 , 11668.5
23839.5 , 12714.3
28446.3 , 14988.8
29520.1 , 14201.6
24542.3 , 12358
25766 , 12472.2
25772.6 , 11653.5
25315.8 , 13581.7
26056.2 , 11938.4
26383.1 , 11941.1
25480.3 , 12837.8
26864.4 , 13267.3
26660.9 , 13576.8
26775.3 , 15648
27192 , 12803.4
27785.1 , 14247.8
28553 , 13344
28028.7 , 14691.3
29968.6 , 16448.1
28688.3 , 13715.2
28781.7 , 16203.2
35100.5 , 16670.3
34907.3 , 17877.7
29465.4 , 14275.3
29410.9 , 15755.8
30438.9 , 14174.9
30446.6 , 14825.9
33089.1 , 15841.4
31678.7 , 14363.5
32689 , 16884.3
35011.2 , 14886.4
33583.4 , 16763.8
32019.3 , 16008.3
32662.3 , 17218.9
33038.1 , 15128.8
33795.5 , 15262
39590.7 , 17431.6
34405.3 , 18675.3
33531.5 , 16602
35425.4 , 17728.8
33524.5 , 17137.2
34960.3 , 18579.4
34624.9 , 14484.2
36733.4 , 17929.4
35041.4 , 17798.7
35212.4 , 15007.3
34713.1 , 18165.5
35638.1 , 20140.1
36118.1 , 20609.5
37215.6 , 16003.2
38379.6 , 18040
37336.5 , 18385.3
38036 , 18506.1
45388.5 , 22663.9
37616.6 , 18873.6
39331 , 18567.6
39088.4 , 18082.6
42365.4 , 18276.1
39735.9 , 22695.9
44783.4 , 19287.2
41072 , 18295.4
40646.8 , 16091.7
40608.9 , 20014.9
40587.8 , 21984.6
40406.2 , 18629.4
41073.7 , 20727.9
41511.2 , 19500.2
43168.5 , 22316.9
41731.3 , 21034.3
41861.5 , 18417.9
44124.9 , 19531.4
41850.4 , 21606.4
42677.9 , 22196.5
43626.7 , 20736.2
44111.4 , 21579.7
43393.6 , 21063.9
45787 , 20310.2
44634.9 , 22596.2
42952.6 , 18868.1
47309.9 , 20218.5
43879.7 , 19831.9
45181.2 , 22138.2
49857.4 , 21177.4
44296.1 , 19346.3
45766.3 , 21246.9
48045.1 , 20273
46238.9 , 20513.6
47351 , 22615.6
49357.4 , 19899.4
47586.1 , 23850.2
47387.8 , 22570.9
55115.4 , 26794.8
54466.6 , 21938.9
48286.4 , 28114.9
47105.8 , 22564.3
50042.8 , 23998.3
50143.9 , 28792.4
48092.6 , 23350.7
49800.8 , 24076.9
50508.9 , 22235.8
49726.2 , 26098.7
50755.2 , 23763.8
51449.6 , 24394.8
51281.9 , 23628.9
54399.3 , 26556.9
51616.9 , 27556.8
51798.2 , 27337.4
53692.9 , 25368.4
57350.4 , 22900.2
58550.6 , 24731.7
62612.7 , 25913.8
52950.8 , 24883.4
52836 , 24581.8
53992.1 , 25139.5
56775.9 , 24366.9
53963.2 , 20762.2
54261 , 25838.2
55695.8 , 24708.4
54900 , 26491
57388.4 , 26303.2
56431.2 , 22629.6
54785.4 , 28833.6
58546 , 25948.3
67439.1 , 28673
57496.4 , 24211.2
57188.1 , 25405.8
58132.3 , 28935.3
59370.9 , 26211.5
57459.8 , 30573.2
69584.5 , 28383.6
57926.3 , 34455.8
58933.6 , 22793.6
60479.9 , 24871.2
59401.3 , 25414.4
60626.5 , 26561.1
61930.1 , 61409.8
65777.9 , 30522.3
78813.1 , 31620.2
67715.8 , 32914.8
64456.2 , 27802.6
59952.1 , 26866.8
61930.4 , 28059.7
60786.9 , 29187.1
61853.6 , 28698.5
60395.2 , 29523.6
62683.5 , 28585.7
63741.6 , 27408.1
69065.3 , 29672.9
66153.6 , 32797.5
63328.9 , 29809.4
64618.9 , 27879.4
63918.6 , 29927.2
64652.9 , 29378.1
65446.8 , 34575.3
65633.8 , 28268.9
65275.3 , 31598.3
64604.9 , 26243.5
65473.9 , 30545.3
65943.2 , 33737.3
69543 , 26288.8
67369.1 , 29464.5
65780 , 31176.1
65750.6 , 32328.9
66048.1 , 28488.3
66682.1 , 30024.8
66527.5 , 34957
67452 , 36888.4
73513.9 , 32049.1
67765.2 , 33995.4
68681.5 , 29540.8
69783.6 , 35285.9
69264.2 , 35886.2
70252.8 , 27924.1
70287.4 , 30004
73170 , 32428.5
70171.9 , 32554.1
70654.8 , 29518.1
71933.5 , 33684.7
73596 , 29286.6
70951.7 , 34047.5
73920 , 35659.1
71968.9 , 30500.3
71367.2 , 32572.2
72878.1 , 36765.8
72960.3 , 31605.4
74324.4 , 31386
73513.6 , 30935.3
73283.7 , 29390.8
73682 , 33632.3
73441.4 , 38723.1
74649.1 , 34586.1
74866.8 , 35945.9
74525.3 , 41400.3
74809.6 , 31131.7
75615.2 , 37198.3
81990.1 , 35623.9
75653.3 , 35905.4
74404.2 , 34564.3
74478.6 , 38052.4
78042.9 , 36280.6
76603.3 , 31099.5
78928.4 , 33583.2
79036.9 , 31920.3
78536 , 34559.3
78222.2 , 34370.7
78140.4 , 35945.4
79171.6 , 43560.6
90541.1 , 35263.3
79663.6 , 39728.9
78786.7 , 33719.1
79114.2 , 37285.4
79414.9 , 37431.6
84844.2 , 40116.5
80240.7 , 37531.9
80968.9 , 37170.5
80561.7 , 39104.2
78888.3 , 38326.8
84612.4 , 36151
82685.4 , 34629.5
82136.2 , 37494
82502.1 , 34851.5
82671.9 , 31710.9
82801.7 , 35088.2
83034.3 , 34000
83442.5 , 39524.9
87243.8 , 33901.6
85102.7 , 35533.9
83889.5 , 35129.7
86122.5 , 43718
150329 , 48507.4
128589 , 42008.6
85945.8 , 33183.3
85002 , 39141.1
86066.1 , 34065.5
86045.2 , 40390.6
87567.4 , 31593.4
88683.5 , 46095.9
