Insert , Search
598.41 , 202.57
563.77 , 396.59
975.03 , 491.23
1157.9 , 606.38
1468.27 , 1129.67
2199.37 , 870.99
2400.81 , 1149.19
2158.79 , 1112.71
2408.11 , 1540.21
2688.52 , 1511.83
2988.89 , 1570.46
3255.79 , 1675.18
3560.32 , 1860.85
3821.9 , 1939.05
4099.32 , 1895.79
4404.69 , 2094.5
4692.2 , 2540
5123.82 , 2340.99
5194.19 , 2665.7
5526.81 , 2651.15
5772.07 , 2844.48
6334.68 , 2939.28
6329.03 , 3400
6666.06 , 3228.91
7196.05 , 3668.9
7183.38 , 3495.93
8380.66 , 3961.94
7360.63 , 3920.33
7614.66 , 3417.4
7931.89 , 3522.89
8118.8 , 3318.89
8374.35 , 4143.7
8661.48 , 4323.16
8900.69 , 4346.21
9191.97 , 4833.34
10206.6 , 5558.2
9709.33 , 4879.49
9965.82 , 5061.81
10282.3 , 4621.8
10492.4 , 4833.73
10804.8 , 4713.95
11544.5 , 5033.31
11609.7 , 4815.15
11252.7 , 5137.43
11508.6 , 5059.17
11786.2 , 6212.06
13141.7 , 6328.85
13209.8 , 7518.75
13776.5 , 6148.09
12777.3 , 7493.17
13036.2 , 6681.89
13340.7 , 6631.75
14084.7 , 7279.13
14258.1 , 6930.78
14465.4 , 6316.36
14993.2 , 7260.06
15289.2 , 11917.7
27228.9 , 8569.55
15927.1 , 7391.32
15830.3 , 7976.21
16480.5 , 7049.84
17188.5 , 8319.91
16788.3 , 7911.68
17602.5 , 8204.25
19714 , 9744.3
20630.6 , 8996.57
17647.3 , 8809.24
18023.3 , 9874.6
21551 , 11411.3
22081.6 , 9276.29
18763.4 , 9067.67
21688 , 8332.08
18727.6 , 8591.6
19406.9 , 9595.21
21508 , 9274.15
20004.3 , 10649.5
20336.4 , 9471.85
20614.2 , 10296.2
21573.3 , 10244.7
20506.7 , 10181.8
21193.9 , 10065
21345.6 , 11034.4
21351.4 , 11257.7
21550.9 , 11251.7
23419.3 , 11395.7
22798.8 , 11066.5
22815 , 13706.3
27643.2 , 13091.3
24907.4 , 10342.2
23688.8 , 14005.3
23393.4 , 11846.4
23584.6 , 12806.5
25458.1 , 12032.4
24865.3 , 11500.9
25014.2 , 11551.8
27672.5 , 13343.8
25249 , 11816.5
25853.9 , 12479.2
26140.3 , 12419.3
26332.2 , 13573.4
28415.6 , 13217
26606.6 , 12522.8
26962.8 , 13062
27887.7 , 13231.9
27964.2 , 12676.8
30972 , 15609.6
28499.6 , 15501.1
28737.8 , 13846.2
29545.9 , 12942.2
28196.6 , 15601.9
29429.3 , 13457.2
29664.8 , 15224.2
29884.6 , 15183.8
30594.8 , 13150.4
35839.9 , 16769.5
35931.3 , 16727.3
30874.8 , 14878.4
34710.6 , 17971.8
33770.4 , 16677.6
31631.7 , 14326.8
32488.7 , 16631.5
33814.9 , 16376.8
34110.5 , 14764.9
33416.4 , 15373.9
33645.6 , 14770.5
36235.3 , 18516.1
36128.4 , 16879.3
33305 , 16934.9
35063.1 , 16774.7
34311.3 , 18730.9
35813.4 , 15631
35204.8 , 18824.3
36031.9 , 18489
38535.3 , 19569.3
65904.9 , 19807.5
39525.5 , 45187.5
38891.9 , 22381.5
38329.7 , 25324.5
36166.2 , 17103.3
36790.1 , 19400.5
36096.6 , 18037.8
38913.5 , 17814.5
37485.9 , 18976.9
40493.4 , 18472.7
38192.6 , 19628.5
40165.9 , 18342.2
38552.9 , 20778.6
38815 , 18817.3
